MDC(331633,953021) = 1
MDC(848036,282527) = 7
MDC(528003,454295) = 1
MDC(887599,802629) = 1
MDC(749836,68128) = 4
MDC(140841,962849) = 1
MDC(862150,89859) = 1
MDC(366990,273053) = 1
MDC(752899,393459) = 1
MDC(85691,969421) = 1
MDC(975559,462900) = 1
MDC(256953,30173) = 1
MDC(132563,836984) = 1
MDC(264405,736331) = 1
MDC(577902,404268) = 6
MDC(859819,836651) = 1
MDC(743482,28278) = 2
MDC(891713,331225) = 1
MDC(281026,566367) = 1
MDC(963758,636804) = 2
MDC(942420,497982) = 6
MDC(980330,632837) = 1
MDC(57714,699156) = 6
MDC(857182,258908) = 2
MDC(605893,674363) = 1
MDC(803972,467161) = 1
MDC(105743,280814) = 1
MDC(553959,374959) = 1
MDC(314010,649866) = 6
MDC(648768,559319) = 1
MDC(887110,148015) = 35
MDC(186695,857952) = 1
MDC(261143,451673) = 1
MDC(492339,29004) = 3
MDC(203754,562336) = 2
MDC(157812,264890) = 2
